Task finished: Unit3 | Task4 | Batch7 | 4339.2
Task started: Unit2 | Task5 | Batch7 | 4339.3
Task finished: Unit2 | Task5 | Batch7 | 4381.3
Task started: Unit1 | Task6 | Batch7 | 4381.4
Task finished: Unit1 | Task6 | Batch7 | 4408.4
Task started: Unit2 | Task7 | Batch7 | 4408.4
Task finished: Unit2 | Task7 | Batch7 | 4460.4
Task started: Unit3 | Task8 | Batch7 | 4460.4
Task finished: Unit3 | Task8 | Batch7 | 4557.4
Task started: Unit1 | Task9 | Batch7 | 4557.5
Task finished: Unit1 | Task9 | Batch7 | 4574.5
Batch7 done
Task started: Unit1 | Task1 | Batch8 | 4574.6
Task finished: Unit1 | Task1 | Batch8 | 4601.6
Task started: Unit2 | Task2 | Batch8 | 4601.6
Task finished: Unit2 | Task2 | Batch8 | 4778.6
Task started: Unit1 | Task3 | Batch8 | 4778.7
Task finished: Unit1 | Task3 | Batch8 | 4840.7
Task started: Unit3 | Task4 | Batch8 | 4840.7
Task finished: Unit3 | Task4 | Batch8 | 4992.7
Task started: Unit2 | Task5 | Batch8 | 4992.8
Task finished: Unit2 | Task5 | Batch8 | 5034.8
Task started: Unit1 | Task6 | Batch8 | 5034.9
Task finished: Unit1 | Task6 | Batch8 | 5061.9
Task started: Unit2 | Task7 | Batch8 | 5061.9
Task finished: Unit2 | Task7 | Batch8 | 5113.9
Task started: Unit3 | Task8 | Batch8 | 5113.9
Task finished: Unit3 | Task8 | Batch8 | 5210.9
Task started: Unit1 | Task9 | Batch8 | 5211.0
Task finished: Unit1 | Task9 | Batch8 | 5228.0
Batch8 done
Task started: Unit1 | Task1 | Batch9 | 5228.1
Task finished: Unit1 | Task1 | Batch9 | 5255.1
Task started: Unit2 | Task2 | Batch9 | 5255.1
Task finished: Unit2 | Task2 | Batch9 | 5432.1
Task started: Unit1 | Task3 | Batch9 | 5432.2
Task finished: Unit1 | Task3 | Batch9 | 5494.2
Task started: Unit3 | Task4 | Batch9 | 5494.2
Task finished: Unit3 | Task4 | Batch9 | 5646.2
Task started: Unit2 | Task5 | Batch9 | 5646.3
Task finished: Unit2 | Task5 | Batch9 | 5688.3
Task started: Unit1 | Task6 | Batch9 | 5688.4
Task finished: Unit1 | Task6 | Batch9 | 5715.4
Task started: Unit2 | Task7 | Batch9 | 5715.4
Task finished: Unit2 | Task7 | Batch9 | 5767.4
Task started: Unit3 | Task8 | Batch9 | 5767.4
Task finished: Unit3 | Task8 | Batch9 | 5864.4
Task started: Unit1 | Task9 | Batch9 | 5864.5
Task finished: Unit1 | Task9 | Batch9 | 5881.5
Batch9 done
Task started: Unit1 | Task1 | Batch10 | 5881.6
Task finished: Unit1 | Task1 | Batch10 | 5908.6
Task started: Unit2 | Task2 | Batch10 | 5908.6
Task finished: Unit2 | Task2 | Batch10 | 6085.6
Task started: Unit1 | Task3 | Batch10 | 6085.7
Task finished: Unit1 | Task3 | Batch10 | 6147.7
Task started: Unit3 | Task4 | Batch10 | 6147.7
