Unit1 Heuristic                       Unit2 Heuristic               Unit3 Heuristic          Total time used 

('Task6', 'Task9', 'Task3', 'Task1') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task6', 'Task9', 'Task3', 'Task1') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6716.6         
('Task6', 'Task9', 'Task3', 'Task1') ('Task2', 'Task7', 'Task5') ('Task4', 'Task8') 6191.2         
('Task6', 'Task9', 'Task3', 'Task1') ('Task2', 'Task7', 'Task5') ('Task8', 'Task4') 6145.4         
('Task6', 'Task9', 'Task3', 'Task1') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task6', 'Task9', 'Task3', 'Task1') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6548.6         
('Task6', 'Task9', 'Task3', 'Task1') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5743.4         
('Task6', 'Task9', 'Task3', 'Task1') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5743.4         
('Task6', 'Task9', 'Task3', 'Task1') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task6', 'Task9', 'Task3', 'Task1') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6261.6         
('Task6', 'Task9', 'Task3', 'Task1') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
('Task6', 'Task9', 'Task3', 'Task1') ('Task7', 'Task5', 'Task2') ('Task8', 'Task4') 5743.4         
('Task9', 'Task1', 'Task3', 'Task6') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task9', 'Task1', 'Task3', 'Task6') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6716.6         
('Task9', 'Task1', 'Task3', 'Task6') ('Task2', 'Task7', 'Task5') ('Task4', 'Task8') 6191.2         
('Task9', 'Task1', 'Task3', 'Task6') ('Task2', 'Task7', 'Task5') ('Task8', 'Task4') 6145.4         
('Task9', 'Task1', 'Task3', 'Task6') ('Task5', 'Task2', 'Task7') ('Task4', 'Task8') 6326.2         
('Task9', 'Task1', 'Task3', 'Task6') ('Task5', 'Task2', 'Task7') ('Task8', 'Task4') 6548.6         
('Task9', 'Task1', 'Task3', 'Task6') ('Task5', 'Task7', 'Task2') ('Task4', 'Task8') 5731.3         
('Task9', 'Task1', 'Task3', 'Task6') ('Task5', 'Task7', 'Task2') ('Task8', 'Task4') 5729.3         
('Task9', 'Task1', 'Task3', 'Task6') ('Task7', 'Task2', 'Task5') ('Task4', 'Task8') 6189.2         
('Task9', 'Task1', 'Task3', 'Task6') ('Task7', 'Task2', 'Task5') ('Task8', 'Task4') 6207.6         
('Task9', 'Task1', 'Task3', 'Task6') ('Task7', 'Task5', 'Task2') ('Task4', 'Task8') 5743.4         
('Task9', 'Task1', 'Task3', 'Task6') ('Task7', 'Task5', 'Task2') ('Task8', 'Task4') 5743.4         
('Task9', 'Task1', 'Task6', 'Task3') ('Task2', 'Task5', 'Task7') ('Task4', 'Task8') 6326.2         
('Task9', 'Task1', 'Task6', 'Task3') ('Task2', 'Task5', 'Task7') ('Task8', 'Task4') 6716.6         
