Task started: Unit2 | Task7 | Batch6 | 1955.1
Task started: Unit1 | Task3 | Batch8 | 1955.2
Task finished: Unit3 | Task4 | Batch7 | 1985.1
Task finished: Unit2 | Task7 | Batch6 | 2007.1
Task started: Unit2 | Task5 | Batch7 | 2007.1
Task started: Unit3 | Task8 | Batch6 | 2007.1
Task finished: Unit1 | Task3 | Batch8 | 2017.2
Task finished: Unit2 | Task5 | Batch7 | 2049.1
Task started: Unit2 | Task2 | Batch9 | 2049.1
Task started: Unit1 | Task1 | Batch11 | 2049.2
Task finished: Unit1 | Task1 | Batch11 | 2076.2
Task started: Unit1 | Task6 | Batch7 | 2076.2
Task finished: Unit1 | Task6 | Batch7 | 2103.2
Task finished: Unit3 | Task8 | Batch6 | 2104.1
Task started: Unit3 | Task4 | Batch8 | 2104.1
Task started: Unit1 | Task9 | Batch6 | 2104.2
Task finished: Unit1 | Task9 | Batch6 | 2121.2
Batch6 done
Task finished: Unit2 | Task2 | Batch9 | 2226.1
Task started: Unit2 | Task7 | Batch7 | 2226.1
Task started: Unit1 | Task3 | Batch9 | 2226.2
Task finished: Unit3 | Task4 | Batch8 | 2256.1
Task finished: Unit2 | Task7 | Batch7 | 2278.1
Task started: Unit2 | Task5 | Batch8 | 2278.1
Task started: Unit3 | Task8 | Batch7 | 2278.1
Task finished: Unit1 | Task3 | Batch9 | 2288.2
Task finished: Unit2 | Task5 | Batch8 | 2320.1
Task started: Unit2 | Task2 | Batch10 | 2320.1
Task started: Unit1 | Task1 | Batch12 | 2320.2
Task finished: Unit1 | Task1 | Batch12 | 2347.2
Task started: Unit1 | Task6 | Batch8 | 2347.2
Task finished: Unit1 | Task6 | Batch8 | 2374.2
Task finished: Unit3 | Task8 | Batch7 | 2375.1
Task started: Unit3 | Task4 | Batch9 | 2375.1
Task started: Unit1 | Task9 | Batch7 | 2375.2
Task finished: Unit1 | Task9 | Batch7 | 2392.2
Batch7 done
Task finished: Unit2 | Task2 | Batch10 | 2497.1
Task started: Unit2 | Task7 | Batch8 | 2497.1
Task started: Unit1 | Task3 | Batch10 | 2497.2
Task finished: Unit3 | Task4 | Batch9 | 2527.1
Task finished: Unit2 | Task7 | Batch8 | 2549.1
Task started: Unit2 | Task5 | Batch9 | 2549.1
Task started: Unit3 | Task8 | Batch8 | 2549.1
Task finished: Unit1 | Task3 | Batch10 | 2559.2
Task finished: Unit2 | Task5 | Batch9 | 2591.1
Task started: Unit2 | Task2 | Batch11 | 2591.1
Task started: Unit1 | Task1 | Batch13 | 2591.2
Task finished: Unit1 | Task1 | Batch13 | 2618.2
Task started: Unit1 | Task6 | Batch9 | 2618.2
Task finished: Unit1 | Task6 | Batch9 | 2645.2
Task finished: Unit3 | Task8 | Batch8 | 2646.1
Task started: Unit3 | Task4 | Batch10 | 2646.1
Task started: Unit1 | Task9 | Batch8 | 2646.2
Task finished: Unit1 | Task9 | Batch8 | 2663.2
Batch8 done
Task finished: Unit2 | Task2 | Batch11 | 2768.1
Task started: Unit2 | Task7 | Batch9 | 2768.1
Task started: Unit1 | Task3 | Batch11 | 2768.2
Task finished: Unit3 | Task4 | Batch10 | 2798.1
Task finished: Unit2 | Task7 | Batch9 | 2820.1
Task started: Unit2 | Task5 | Batch10 | 2820.1
Task started: Unit3 | Task8 | Batch9 | 2820.1
Task finished: Unit1 | Task3 | Batch11 | 2830.2
Task finished: Unit2 | Task5 | Batch10 | 2862.1
Task started: Unit2 | Task2 | Batch12 | 2862.1
Task started: Unit1 | Task1 | Batch14 | 2862.2
